,"{'n_syll': 2, 'stress_index': 2}","{'n_syll': 2, 'stress_index': 1}","{'n_syll': 3, 'stress_index': None}","{'n_syll': 3, 'stress_index': 2}","{'n_syll': 3, 'stress_index': 1}","{'n_syll': 3, 'stress_index': 3}","{'n_syll': 4, 'stress_index': 3}","{'n_syll': 4, 'stress_index': 2}","{'n_syll': 4, 'stress_index': 1}","{'n_syll': 5, 'stress_index': 4}","{'n_syll': 5, 'stress_index': 3}","{'n_syll': 6, 'stress_index': 4}","{'n_syll': 7, 'stress_index': 5}"
0,perform,product,instagram,consumer,leadership,personnel,economic,economy,knowledgeable,communication,international,organizational,confidentiality
1,around,google,,incentive,database,guarantee,innovation,technology,engineering,negotiation,,,
2,account,hire,,performance,industry,,introduction,negotiate,secretary,,,,
3,event,even,,assistant,revenue,,correspondence,portfolio,personalize,,,,
4,promote,income,,component,candidate,,,experience,advertising,,,,
5,select,budget,,deposit,company,,,professional,,,,,
6,attend,contact,,financial,manager,,,executive,,,,,
7,promote,budget,,position,resources,,,ambassador,,,,,
8,delay,climate,,effective,engineer,,,development,,,,,
9,recruit,pattern,,advantage,privacy,,,associate,,,,,
10,report,,,insurance,customer,,,,,,,,
11,campaign,,,employee,,,,,,,,,
12,finance,,,instructions,,,,,,,,,
