Module,Activity Set,Activity
Final -ED, All Clear-ed, Count'em up!
Focus Pocus, All you need is focus words, Get speaking
Using Focus Words, any way the wind flows, Guess the Meaning
Vowel contrast: /ɔː/ vs. /əʊ/,"easy as 1,2,3", Long or short
Vowel contrast: /ɪ/ and /i:/,"easy come, easy flow", Matchy matchy
Word stress, get the basics with final -ED, Nouns and verbs
, get the basics with vowel contrast, Odd one out
, get the basics with word stress, Patterns
, High five!, Pick Phonetics
, Intonation is key, Playing with Meaning
, Knowledge Check, Rhythms
, Let's groove, Speak on the Phone
, Level Up!, Speed Matching
,"Little high, little low", Spot on
, Minimal Pairs Matter, Type to the beat
, Nailing it!,"words in -al, -cy, -phy, -ty, -gy" 
, Oh sheet!,"words in -tion, -ic, -sion"
, Over the Rainbow,
, Past tense(d),
, Spot the difference,
, To the top,
