WS single word,WS word group,WS sentence,VC1 single word,VC1 word group,VC1 sentence,VC2 word group,VC2 sentence,-ED word group,-ED sentence
1. analysis, 1. a team *player*, 1. I am looking for a *permanent* contract., 1. screen, 1. contract *breach*, 1. They strongly *agreed* with what the CEO said., 1. product *launch*, 1. He travels a lot because he works *closely* with our foreign partners., 1. highly *skilled*, 1. My contract *ended* last week.
2. focus, 2. *video* content, 2. Who are your strongest *competitors*?, 2. quick, 2. fierce *competition*, 2. The presentation you gave last week was *simple* but very efficient., 2. *low*-tech products, 2. Some of us will have to move *abroad* if the company gets through with the transfer., 2. *leaked* information, 2. Has anyone *looked* into our client's request?
3. market, 3. a vacant *position*, 3. Thank you for listening to my *proposal*., 3. briefcase, 3. customer *need*, 3. Our boss *believes* that working overtime is not healthy., 3. *over* to you,"3. His pitch was so good, I was *blown* away.", 3. *assessed* work, 3. Melania *waited* for a while but she was expected somewhere else.
4. report, 4. a *balance* sheet, 4. He has poor time *management* skills.,, 4. *fringe* benefits, 4. I will never be able to *finish* this project on time., 4. cash-*flow*, 4. I think they only shortlisted three or *four* candidates.,, 4. This manager was sued because he *discriminated* against job candidates.
5. productive, 5. a business *developer*, 5. Good leaders focus on tasks and *relationships*.,, 5. self-employed *people*,5. It was a big *win* for us today!, 5. *borrows* money, 5. They take care of the *raw* materials but delegate the rest to other companies.,, 5. They *received* some advice from an experienced colleague.
6. company, 6. customer *experience*, 6. *Influencers* sell products online.,, 6. limited *liability*,"6. Mariana is going to start her presentation, you can all take a *seat* please.", 6. unanimous *vote*, 6. Part of being a good salesperson is to *know* how to listen actively.,, 6. That one document *binded* both companies.
7. budget, 7. a *professional* background, 7. Recruiters use LinkedIn to find *candidates*.,, 7. *leader* role, 7. He's *keeping* track of the company expenses., 7. to be well-*spoken*, 7. My desk is full of *cords*.,, 7. My office *moved* up six floors.
8. analyze, 8. a *marketing* trend, 8. Let's have dinner to *celebrate* our new hire.,, 8. vacant *position*, 8. I think the *deal* is still on but I'm not sure.,, 8. Price hikes *won't* be an issue for now I think.,, 8. She *stayed* loyal to her company
9. employee, 9. to earn a *commission*, 9. *Technology* changes the way we sell products.,, 9. *meeting* slot, 9. My office is actually right there on the next *street*.,,"9. As a salesperson, cold *calling* is part of my daily routine.",, 9. I *asked* my assistant to call them.
10. economic, 10. a software *engineer*, 10. I am the chairman of the *strategic* committee.,,,"10. At some point, you'll have to take the *leap*.",, 10. Make sure you're ready to *go* before the other pitch ends.,, 10. Graphic designers are often self-*employed*.
11. technology, 11. research and *development*, 11. Serena is our trade union *representative*.,,, 11. Did you ask Simon to *ship* those thank-you baskets to our clients?,,"11. I *thought* we would break even, but we'll have to make more revenue.",, 11. This couple *founded* a startup together.
12. department, 12. a personal *assistant*, 12. *Gender* equality in the workplace is important.,,,"12. I'm going to grab *coffee* for everyone, what do you want?",, 12. Do you like working from *home*?,, 12. The current CEO started at our company years ago and *worked* their way up.
13. engineering, 13. *currency* exchange, 13. Business angels invest in *early-stage* startups.,,, 13. I'm pretty happy about how my *pitch* went.,, 13. Sasha is *almost* done with her maternity leave.,,"13. Everyone *expected* us to go bankrupt, but we didn't!"
14. international, 14. investment *portfolio*, 14. Which marketing *channels* do you use?,,, 14. They *compete* against the same company.,, 14. I'm hoping to find a job *abroad* after I graduate.,, 14. A lot of opportunities were *created* thanks to this project.
15. innovation, 15. *constructive* feedback, 15. Our email *campaign* was a success!,,, 15. I have to make *peace* with the unfortunate failure of yesterday.,, 15. Amal is going to take out a loan to start her own business.,, 15. It *exceeded* all expectations!
16. industrial, 16. Chief *Executive* Officer, 16. Can you forward me your *correspondence*?,,, 16. She *gives* very good advice.,, 16. Mohan is working *towards* his goal of becoming CEO.,, 16. He *seemed* confused that someone as young as me got hired for this position.
17. programme, 17. *temporary* work, 17. Videos are an *engaging * way to sell.,,, 17. Do you *need* help working on that deal?,,"17. Even *though* the hiring process will be long and difficult, this job is worth it.",, 17. Did you see how *pleased* the manager was with our presentation?
18. feedback, 18. *effective* collaboration, 18. Tell me about your *decision-making* process.,,, 18. He didn't mention any *fee* when we talked about it last week.,, 18. We *always* work with people who meet our ethical standards.,, 18. They *expected* more sales this month.
19. recruiter, 19. to *accept* privacy cookies,,,, 19. I'd like to speak about the *commission* for a couple of minutes.,, 19. Eddie is looking for a job that will allow for personal *growth*.,, 19. She *showed* me how I could be more persuasive.
20. prioritise, 20. to *encourage* open communication,,,, 20. We think Alan would be a good *fit* for the position.,, 20. It is unclear whether another 30 million dollars was *withdrawn*.,, 20. I *called* them multiple times but I wasn't able to reach them.
21. flexibility, 21. to *schedule* weekly meetings,,,,"21. He hasn't *agreed* to anything yet, we need to find a way to convince him.",, 21. We should *broaden* our view on those products.,, 21. We *suggested* a merger but they refused.
22. industry,,,,, 22. Okay but how long *will* it take to arrive at the factory?,, 22. It didn't follow the *course* we expected.,,
23. organize,,,,, 23. Let's talk about the new *deal* that's on the table right now.,, 23. Interest rates are being kept artificially *low*.,,
24. organization,,,,,"24. To be honest, I don't *feel* confident about the takeover.",, 24. You always need to pay attention to small *clauses* in a contract.,,
25. organizational,,,,,"25. The *key* for a good work environment is communication, right?",, 25. Corporate business *law* differs dramatically from state to state.,,
26. profit,,,,, 26. I started a *freelance* gig for this company.,,,,
27. profitable,,,,, 27. Please get there at least 15 minutes before your *shift* starts.,,,,
28. profitability,,,,, 28. We all managed to *meet* our sales targets!,,,,
29. product,,,,, 29. The target demographic was supposed to be *teens* but I think we missed it.,,,,
30. productive,,,,, 30. Does anyone know how to replace the *ink* in the printer?,,,,
31. produce,,,,,"31. I don't *deal* with recruitment, HR does.",,,,
32. innovate,,,,, 32. Our ideal candidate would be someone who is willing to work on their *weaknesses*.,,,,
33. innovative,,,,, 33. It would be better to use the *lean* startup method.,,,,
34. innovation,,,,,"34. We don't really use much paper anymore, everything is becoming *digital*.",,,,
35. associate,,,,, 35. They're still waiting for some constructive *feedback*.,,,,
36. admin,,,,,,,,,
37. administration,,,,,,,,,
38. develop,,,,,,,,,
39. development,,,,,,,,,
40. strategy,,,,,,,,,
41. strategic,,,,,,,,,
42. responsible,,,,,,,,,
43. responsibility,,,,,,,,,
44. equal,,,,,,,,,
45. equality,,,,,,,,,
46. confidentiality,,,,,,,,,
47. internationalization,,,,,,,,,
