"phrase_id","target_phoneme","target_word_indexes","target_syllable_indexes","phonetic_variant","text","cmu_phonetics","pronounciation_guide","syllable_parts","stress_category","words","syllabified_words","cmu","gibberish","audio_id","audio_file_url","gender"
"mfnhgbvhuf","null","null","null","null","Claire didn't buy a *car*","K_L_EH1_R D_IH1|D_AH0_N_T B_AY1 AH0 K_AA1_R","k_l_e_r d_i|d_uh_n_t b_ay uh k_o_r","Claire did|n't buy a car","null","[""Claire"",""didn't"",""buy"",""a"",""*car*""]","[""Claire"",""did|n't"",""buy"",""a"",""car""]","[""K_L_EH1_R"",""D_IH1|D_AH0_N_T"",""B_AY1"",""AH0"",""K_AA1_R""]","[""k_l_e_r"",""d_i|d_uh_n_t"",""b_ay"",""uh"",""k_o_r""]","claire-car1","M1/claire-didnt-buy-a-car1.mp3","MALE"
"evchrfqvna","null","null","null","null","Claire didn't *buy* a car","K_L_EH1_R D_IH1|D_AH0_N_T B_AY1 AH0 K_AA1_R","k_l_e_r d_i|d_uh_n_t b_ay uh k_o_r","Claire did|n't buy a car","CORRECTION","[""Claire"",""didn't"",""*buy*"",""a"",""car""]","[""Claire"",""did|n't"",""buy"",""a"",""car""]","[""K_L_EH1_R"",""D_IH1|D_AH0_N_T"",""B_AY1"",""AH0"",""K_AA1_R""]","[""k_l_e_r"",""d_i|d_uh_n_t"",""b_ay"",""uh"",""k_o_r""]","claire-buy1","M1/claire-didnt-buy1-a-car.mp3","MALE"
"zsjuehxbbn","null","[3]","null","null","I study business *and* marketing.","AY1 S_T_AH1|D_IY0 B_IH1|Z_N_AH0_S AH0_N_D M_AA1_R|K_AH0|T_IH0_NG","ay s_t_uh|d_ee b_i|z_n_uh_s uh_n_d m_o_r|k_uh|t_i_ng","I stud|y busi|ness and mar|ket|ing","CORRECTION","[""I"",""study"",""business"",""*and*"",""marketing.""]","[""I"",""stud|y"",""busi|ness"",""and"",""mar|ket|ing""]","[""AY1"",""S_T_AH1|D_IY0"",""B_IH1|Z_N_AH0_S"",""AH0_N_D"",""M_AA1_R|K_AH0|T_IH0_NG""]","[""ay"",""s_t_uh|d_ee"",""b_i|z_n_uh_s"",""uh_n_d"",""m_o_r|k_uh|t_i_ng""]","IY2F6ZLOFVDUEX3UGFPTCMA","F4/zsjuehxbbn__F4_en-GB_t1_10.mp3","FEMALE"
"zsjuehxbbn","null","[3]","[0]","null","I study business *and* marketing.","AY1 S_T_AH1|D_IY0 B_IH1|Z_N_AH0_S AH0_N_D M_AA1_R|K_AH0|T_IH0_NG","ay s_t_uh|d_ee b_i|z_n_uh_s uh_n_d m_o_r|k_uh|t_i_ng","I stud|y busi|ness and mar|ket|ing","CORRECTION","[""I"",""study"",""business"",""*and*"",""marketing.""]","[""I"",""stud|y"",""busi|ness"",""and"",""mar|ket|ing""]","[""AY1"",""S_T_AH1|D_IY0"",""B_IH1|Z_N_AH0_S"",""AH0_N_D"",""M_AA1_R|K_AH0|T_IH0_NG""]","[""ay"",""s_t_uh|d_ee"",""b_i|z_n_uh_s"",""uh_n_d"",""m_o_r|k_uh|t_i_ng""]","IY2F6ZLOFVDUEX3UGFPTCMA","F4/zsjuehxbbn__F4_en-GB_t1_10.mp3","FEMALE"
"rkrgvhwtmm","null","[1]","[0]","null","I'll *lock* it in, thank you!","AY1_L L_AA1_K IH1_T IH0_N TH_AE1_NG_K Y_UW1","ay_l l_o_k i_t i_n th_a_ng_k y_oo","I'll lock it in thank you","HIGHLIGHT","[""I''ll"",""*lock*"",""it"",""in,"",""thank"",""you!""]","[""I''ll"",""lock"",""it"",""in"",""thank"",""you""]","[""AY1_L"",""L_AA1_K"",""IH1_T"",""IH0_N"",""TH_AE1_NG_K"",""Y_UW1""]","[""ay_l"",""l_o_k"",""i_t"",""i_n"",""th_a_ng_k"",""y_oo""]","IY2F6ZLOFVDUEX3UGFPTCMBQ","F4/rkrgvhwtmm__F4_en-GB_t1_100.mp3","FEMALE"
"jwqukvmfjv","null","[2]","[0]","null","Sure, I'll *CC* you in.","SH_UH1_R AY1_L S_IY1|S_IY1 Y_UW1 IH0_N","sh_u_r ay_l s_ee|s_ee y_oo i_n","Sure I'll C|C you in","HIGHLIGHT","[""Sure,"",""I''ll"",""*CC*"",""you"",""in.""]","[""Sure"",""I''ll"",""C|C"",""you"",""in""]","[""SH_UH1_R"",""AY1_L"",""S_IY1|S_IY1"",""Y_UW1"",""IH0_N""]","[""sh_u_r"",""ay_l"",""s_ee|s_ee"",""y_oo"",""i_n""]","IY2F6ZLOFVDUEX3UGFPTCMBS","F4/jwqukvmfjv__F4_en-GB_t1_102.mp3","FEMALE"
"bbuxvwrqmm","null","[5]","[0]","null","Of course, I'll put you *through*.","AH1_V K_AO1_R_S AY1_L P_UH1_T Y_UW1 TH_R_UW1","uh_v k_aw_r_s ay_l p_u_t y_oo th_r_oo","Of course I'll put you through","HIGHLIGHT","[""Of"",""course,"",""I''ll"",""put"",""you"",""*through*.""]","[""Of"",""course"",""I''ll"",""put"",""you"",""through""]","[""AH1_V"",""K_AO1_R_S"",""AY1_L"",""P_UH1_T"",""Y_UW1"",""TH_R_UW1""]","[""uh_v"",""k_aw_r_s"",""ay_l"",""p_u_t"",""y_oo"",""th_r_oo""]","IY2F6ZLOFVDUEX3UGFPTCMBU","F4/bbuxvwrqmm__F4_en-GB_t1_104.mp3","FEMALE"
"ngqbfmnmcj","null","[1]","[0]","null","Yes, *hang* on.","Y_EH1_S HH_AE1_NG AA1_N","y_e_s h_a_ng o_n","Yes hang on","HIGHLIGHT","[""Yes,"",""*hang*"",""on.""]","[""Yes"",""hang"",""on""]","[""Y_EH1_S"",""HH_AE1_NG"",""AA1_N""]","[""y_e_s"",""h_a_ng"",""o_n""]","IY2F6ZLOFVDUEX3UGFPTCMBW","F4/ngqbfmnmcj__F4_en-GB_t1_106.mp3","FEMALE"
"nfvhfhwacc","null","[4]","[0]","null","Sorry, would you mind *slowing* down?","S_AA1|R_IY0 W_UH1_D Y_UW1 M_AY1_N_D S_L_OW1|IH0_NG D_AW1_N","s_o|r_ee w_u_d y_oo m_ay_n_d s_l_ow|i_ng d_au_n","Sor|ry would you mind slo|wing down","HIGHLIGHT","[""Sorry,"",""would"",""you"",""mind"",""*slowing*"",""down?""]","[""Sor|ry"",""would"",""you"",""mind"",""slo|wing"",""down""]","[""S_AA1|R_IY0"",""W_UH1_D"",""Y_UW1"",""M_AY1_N_D"",""S_L_OW1|IH0_NG"",""D_AW1_N""]","[""s_o|r_ee"",""w_u_d"",""y_oo"",""m_ay_n_d"",""s_l_ow|i_ng"",""d_au_n""]","IY2F6ZLOFVDUEX3UGFPTCMBY","F4/nfvhfhwacc__F4_en-GB_t1_108.mp3","FEMALE"
"sqkqyqkxjv","null","[6]","[0]","null","Sure, can I put you on *hold* for a moment?","SH_UH1_R K_AE1_N AY1 P_UH1_T Y_UW1 AA1_N HH_OW1_L_D F_AO1_R AH0 M_OW1|M_AH0_N_T","sh_u_r k_a_n ay p_u_t y_oo o_n h_ow_l_d f_aw_r uh m_ow|m_uh_n_t","Sure can I put you on hold for a mo|ment","HIGHLIGHT","[""Sure,"",""can"",""I"",""put"",""you"",""on"",""*hold*"",""for"",""a"",""moment?""]","[""Sure"",""can"",""I"",""put"",""you"",""on"",""hold"",""for"",""a"",""mo|ment""]","[""SH_UH1_R"",""K_AE1_N"",""AY1"",""P_UH1_T"",""Y_UW1"",""AA1_N"",""HH_OW1_L_D"",""F_AO1_R"",""AH0"",""M_OW1|M_AH0_N_T""]","[""sh_u_r"",""k_a_n"",""ay"",""p_u_t"",""y_oo"",""o_n"",""h_ow_l_d"",""f_aw_r"",""uh"",""m_ow|m_uh_n_t""]","IY2F6ZLOFVDUEX3UGFPTCMJQ","F4/sqkqyqkxjv__F4_en-GB_t1_110.mp3","FEMALE"
