FW correction,FW highlight,FW emotion,VC1,VC2,-ED
"1. {""question"": ""Do you usually commute by *car*?"", ""answer"": ""No, I commute by *train*."", ""stress_category"":""Correction""}","1. {""question"": ""Which position are *you* applying for?"", ""answer"": ""I am applying for the *Analyst* role."", ""stress_category"": ""Highlight""}","1. {""question"": ""Would *you* like to become part of our team?"", ""answer"": ""I would *love* to work with you!"", ""stress_category"": ""Emotion""}","1. {""question"": ""So, how did the first round of interviews go? "", ""answer"": ""I just *finished*, I think it went pretty well actually. ""}","1. {""question"": ""I heard that Simon got laid off."", ""answer"": ""Really? He had just been promoted, *though*!""}","1. {""question"": ""Good morning Ms Jones, did you finish your meeting with Ms Clarke? "", ""answer"": ""Good morning Jakob, no, she actually never *showed* up.""}"
"2. {""question"": ""Do you work in the *sales* department?"", ""answer': ""No, I work in the *marketing* department."", ""stress_category"": ""Correction""}","2. {""question"": ""When is our *next* team meeting?"", ""answer"": ""The meeting is on *Tuesday*."", ""stress_category"": ""Highlight""}","2. {""question"": ""Did I tell you I *finally* got a promotion?"", ""answer"": ""Congrats! Your hard work *finally* paid off!"", ""stress_category"": ""Emotion""}","2. {""question"": ""Do any candidates stand out?"", ""answer"": ""Yes, two of them. I was really impressed by their *skills* and the way they handled the interview. ""}","2. {""question"": ""Yeah I don't know, maybe it's just gossip."", ""answer"": ""I think *so*. Who told you?""}","2. {""question"": ""Really? I'm surprised, she seemed very interested by the deal. "", ""answer"": ""I was also *surprised*, it doesn't happen often.""}"
"3. {""question"": ""Do you study *business* or *marketing*?"", ""answer"": ""I study business *and* marketing."", ""stress_category"": ""Correction""}","3. {""question"": ""Nice to meet you, *Alex*. How are you?"", ""answer"": ""I'm good, how are *you*?"", ""stress_category"": ""Highlight""}","3. {""question"": ""Do you want to grab coffee after the meeting?"", ""answer"": ""I would *love* to!"", ""stress_category"": ""Emotion""}","3. {""question"": ""How many candidates do you plan to keep for the second round? "", ""answer"": ""Technically *six*, but I'll only keep five because we have also received an internal recommendation.""}","3. {""question"": ""Raven from HR."", ""answer"": ""Mmh, it might be true then. Do you *know* what happened?""}","3. {""question"": ""I'm sorry about that, I hope she calls soon to explain what happened. "", ""answer"": ""You called her last week when I *asked* you to, right? ""}"
"4. {""question"": ""Is €3000 your *net* salary?"", ""answer"": ""No, it's my *gross* salary."", ""stress_category"": ""Correction""}","4. {""question"": ""Are you free at 3PM today?"", ""answer"": ""No, but I'm free *tomorrow*?"", ""stress_category"": ""Highlight""}","4. {""question"": ""Can you add me on LinkedIn?"", ""answer"": ""I *just* sent you a message."", ""stress_category"": ""Emotion""}","4. {""question"": ""Oh, so the person who was recommended didn't take part in the interviews, did they?"", ""answer"": ""Yeah no, he didn't send his application in like the others. Someone recommended him to me, but he didn't *seem* too confident.""}","4. {""question"": ""I don't. But I heard Simon wasn't the only one to be fired."", ""answer"": ""Wait, what? Who else was let *go* besides Simon?""}","4. {""question"": ""Yes I did, last Thursday, and we set the date and time together. "", ""answer"": ""Okay then, I hope nothing bad *happened* to her and that she just forgot. ""}"
"5. {""question"": ""The company's headquarters are in *Frankfurt*."", ""answer"": ""No, they're in *Berlin*."", ""stress_category"": ""Correction""}","5. {""question"": ""What do you take away from this training?"", ""answer"": ""I'm sorry, can you repeat more *slowly*?"", ""stress_category"": ""Highlight""}","5. {""question"": ""Can you print this report for me?"", ""answer"": ""I'm *on* it!"", ""stress_category"": ""Emotion""}","5. {""question"": ""Why so? "", ""answer"": ""Cause he's been working as a secretary *since* he started at our company. ""}","5. {""question"": ""Amanda is also gone. "", ""answer"": ""Is that because she got *caught* using the second floor printer?""}","5. {""question"": ""In case she doesn't reach out today, do you want me to call her tomorrow to ask about it? "", ""answer"": ""Good idea, but let's give it two days. If she hasn't *called* on Wednesday, do it please.""}"
"6. {""question"": ""Assets are listed on the *left* side of the balance sheet."", ""answer"": ""No, assets are listed on the *right* side."", ""stress_category"": ""Correction""}","6. {""question"": ""My last name is Schuman."", ""answer"": ""Can you *spell* that?"", ""stress_category"": ""Highlight""}","6. {""question"": ""I'll see you at the board meeting."", ""answer"": ""That's on Monday, *right*?"", ""stress_category"": ""Emotion""}","6. {""question"": ""And? He doesn't meet the degree qualifications?"", ""answer"": ""No he doesn't. But he's been here for 3 years and has already gained most of the knowledge he'd *need*.""}","6. {""question"": ""No, apparently she was rude to some clients."", ""answer"": ""Well. There might be something we don't *know* about Simon, then!""}","6. {""question"": ""Thank you for your presentation Marcus, it was very well structured."", ""answer"": ""Thank you. Please let me know if there is any information that needs to be *clarified*.""}"
"7. {""question"": ""Is your office on the *second* floor?"", ""answer"": ""No, it's on the *first* floor."", ""stress_category"": ""Correction""}","7. {""question"": ""*Which* badge are you looking for?"", ""answer"": ""I'm looking for my *ID* badge."", ""stress_category"": ""Highlight""}","7. {""question"": ""Selma negotiated a raise for the *whole* team!"", ""answer"": ""That's *amazing*, well done!"", ""stress_category"": ""Emotion""}","7. {""question"": ""Nice. Then it's only fair to invite him for an interview, good idea!"", ""answer"": ""I hope he'll be on board with the idea, let's *see*. ""}","7. {""question"": ""How are you adapting to the new position? "", ""answer"": ""Pretty well, thanks. It's been a couple of weeks and I'm starting to have a good *workflow*.""}","7. {""question"": ""Yes, I wanted to ask about the second graph you showed us. "", ""answer"": ""Sure, let me quickly put it back up. There it is, *shared* on my screen.""}"
"8. {""question"": ""The workers are going on strike tomorrow."", ""answer"": ""No, they're going on strike *today*."", ""stress_category"": ""Correction""}","8. {""question"": ""Check your *inbox*, I sent your my report."", ""answer"": ""Thanks *Polly*, I'll have a look."", ""stress_category"": ""Highlight""}","8. {""question"": ""Are you close to the office? We're *waiting* for you."", ""answer"": ""I'm *almost* there. Sorry for running late!"", ""stress_category"": ""Emotion""}","8. {""question"": ""Thank you. ', ""answer"": ""As your know, we conduct annual reviews for each *employee* in our company.""}","8. {""question"": ""Nice. Have you started working on the WindyBay project? "", ""answer"": ""Yeah, I started last week and it's *awesome*.""}","8. {""question"": ""So the curve makes sense to me, but don't you think that your numbers are a bit ambitious? "", ""answer"": ""Since I *based* them on our revenue over the past five years, I would consider them realistic.""}"
,"9. {""question"": ""Hello, am I speaking to *Alex Wong*?"", ""answer"": ""Yes, how I can help *you*?"", ""stress_category"": ""Highlight""}","9. {""question"": ""How did your *sales* go this quarter?"", ""answer"": ""We were *so* close to meeting our targets!"", ""stress_category"": ""Emotion""}","9. {""question"": ""Yes, I remember learning about it during the interviewing process. "", ""answer"": ""Exactly. These feedback sessions go both ways, so we all have the opportunity to express anything we *think* is important, positive or negative. ""}","9. {""question"": ""Great! What do you like so much about it?"", ""answer"": ""I love how every day is different in this job. I'm never bored and it helps me *grow*.""}","9. {""question"": ""Okay, do you think the structure of the company should change to reach your new goals? "", ""answer"": ""Change is inevitable but I don't think a complete pivot is *needed* here.""}"
,"10. {""question"": ""How was your *performance* this year?"", ""answer"": ""We increased our margins by *half*!"", ""stress_category"": ""Highlight""}","10. {""question"": ""Emily suggested to cut *back* on marketing expenses."", ""answer"": ""I am *convinced* there are other solutions."", ""stress_category"": ""Emotion""}","10. {""question"": ""I appreciate it. "", ""answer"": ""Now, would you like to start or should I start with my *feedback*? ""}","10. {""question"": ""What are you working on at the moment?"", ""answer"": ""Right now, I'm designing a landing page to sell WindyBay's new line of boats.""}","10. {""question"": ""Thank you for your answers. It will be interesting to see how this turns out."", ""answer"": ""Thank you, I'm *excited* to get started!""}"
